folder,start_frame,end_frame,label,commentary,username,source_file,duration_sec
2021.10.01.13.28.54_veh-28_00607_00973,116,847,At the intersection with the green light make a left turn. Stop behind the black vehicle. At the next intersection make another left turn. Make a right turn. Stop for the upcoming intersection.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,73.1
2021.08.17.16.48.45_veh-43_01837_02038,83,439,During the green light at the intersection make a right turn. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,35.6
2021.06.14.17.26.26_veh-38_04285_04392,216,378,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.2
2021.06.14.11.44.56_veh-35_02399_02672,1097,1343,Stop behind the bus during the red light. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,24.6
2021.06.09.11.54.15_veh-12_00689_01229,589,1653,Turn left at the green intersection. Merge one lane to the right. Merge one to the right and come to a stop at the red light. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,106.4
2021.07.16.00.51.05_veh-17_01352_01901,1675,1848,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,17.3
2021.06.09.14.03.17_veh-12_01603_01708,264,501,Take a left turn once the people finished walking. At the next intersection make a stop. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,23.7
2021.09.15.16.51.15_veh-28_00005_00160,16,429,Make a U-Turn at the end of the road. Make a stop the upcoming stop sign. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,41.3
2021.06.14.18.33.41_veh-35_01970_02043,17,356,Merge one lane to the left and come to a stop at the red light. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,33.9
2021.05.12.22.00.38_veh-35_00129_00204,41,207,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.6
2021.06.14.18.42.45_veh-12_03445_03902,534,1942,Merge one lane to the right. Follow the white truck. At the next crosswalk turn right. Enter the diamond services and stop at a drop off zone. Look for oncoming vehicles before leaving the drop off zone. Stop at the red traffic light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,140.8
2021.06.14.13.27.42_veh-35_03142_03404,52,680,Merge one lane to the left. Follow the white vehicle ahead. Stop at the upcoming red traffic light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,62.8
2021.09.15.16.51.15_veh-28_00176_00329,543,756,Yield to oncoming vehicles before making a left turn at the intersection.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,21.3
2021.06.14.17.26.26_veh-38_01293_01488,138,743,"Yield to an oncoming vehicle before turning left. Enter the building and stop at the drop off zones. Look for oncoming vehicles before leaving the drop off zone. At the stop sign make a stop. Stop for the people crossing, and make another stop at the traffic light. Turn left at the intersection.",Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,60.5
2021.10.06.13.21.47_veh-28_01648_01722,95,272,Make a stop for the red light. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,17.7
2021.06.14.16.48.02_veh-12_02317_02401,185,405,"Merge on lane to the left. Stop for the pedestrians crossing, and stop for the red traffic light. ",Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,22.0
2021.07.09.02.42.50_veh-35_00038_02629,467,1954,"Turn left at the intersection. Stop for the pedestrians crossing the road. Merge one lane to the left. Stop at the upcoming stop sign. Yield to oncoming traffic before turning left,  enter a building drop off zone and stop. Go a little more ahead in the drop off zone. Once more.  ",Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,148.7
2021.06.09.14.58.55_veh-35_03927_04034,332,487,Make a left turn at the intersection. Merge one lane to the right.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.5
2021.06.14.13.27.42_veh-35_05029_05340,852,1255,Make a stop for the stop sign. Yield towards oncoming vehicles before making a left turn at the intersection. Stop at a drop off zone. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,40.3
2021.06.14.18.33.41_veh-35_02054_02129,65,358,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,29.3
2021.06.09.17.37.09_veh-12_04340_04478,99,621,"Enter the diamond services seven, and merge into the drop off zone. Look for oncoming vehicles before leaving the drop off zone. Stop for the upcoming red light. ",Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,52.2
2021.06.14.13.28.41_veh-12_03221_03301,71,330,Slow down and merge one lane to the right to pass the vehicles in front. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,25.9
2021.06.14.18.13.35_veh-26_04964_05075,41,407,Merge one lane to the right. Stop behind the grey vehicle.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,36.6
2021.09.15.15.02.19_veh-39_00214_00558,1246,1487,"Merge to the left lane to avoid the mail truck, and come back to original lane. Stop for the red traffic light",Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,24.1
2021.06.23.16.54.19_veh-35_00016_00755,1324,2449,Stop behind the grey vehicle during the red light. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,112.5
2021.06.14.18.42.45_veh-12_01065_01152,103,371,Yield to the oncoming vehicles and turn left into the building. Enter the drop off zone and stop. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.8
2021.06.09.14.03.17_veh-12_02213_02304,109,375,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.6
2021.06.14.16.32.09_veh-35_03129_03220,153,373,Stop at the stop sign. Turn left at the yield sign. Enter the building drop off zone.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,22.0
2021.06.14.13.28.41_veh-12_03841_04014,471,707,Merge into the left lane and stop at the stop sign.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,23.6
2021.06.14.13.27.42_veh-35_04001_04236,337,1155,"Enter the buildings drop off zone and stop. Leave the drop off zone and stop at the stop sign, and look for oncoming vehicles before turning right. Merge one lane to the left. Stop at the next intersection. ",Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,81.8
2021.06.09.14.58.55_veh-35_04360_04484,385,576,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.1
2021.09.15.14.50.05_veh-28_00389_00508,298,566,Stop at the upcoming red traffic light. Turn left at the intersection. STOP. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.8
2021.08.17.16.48.45_veh-43_03137_03245,210,478,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.8
2021.09.15.14.00.15_veh-28_01611_01874,355,1017,Stop at the intersection for the red light. Stop at the upcoming intersection with a red light. Once more stop behind a grey truck during the red light at the intersection. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,66.2
2021.09.15.12.32.43_veh-28_00202_00323,205,551,Turn right. Stop at the stop sign. Look for oncoming traffic and turn left. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,34.6
2021.09.15.12.32.43_veh-28_01410_01501,176,405,Shift to the left to avoid hitting the parked vehicles. Stop at the stop sign.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,22.9
2021.06.14.17.26.26_veh-38_01177_01256,231,387,Turn right at the intersection. Stop for the pedestrians crossing the road.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.6
2021.10.11.07.47.13_veh-50_00886_00952,8,202,Follow the arrows. Look for oncoming traffic. ,Ambiguous,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.4
2021.06.09.18.23.43_veh-35_03804_03956,359,573,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,21.4
2021.06.14.16.32.09_veh-35_00100_00272,264,558,Turn left at the intersection. Merge one lane to the right. Stop at the red light. ,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,29.4
2021.07.16.16.08.35_veh-35_00805_01292,976,1165,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,18.9
2021.06.14.16.48.02_veh-12_00721_00828,36,486,Follow the white vehicle in front. ,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,45.0
2021.06.14.18.33.41_veh-35_02521_03356,884,2344,Merge one lane into the right side. Merge once again to the right lane and take a right turn. Merge into the left lane and stop for the stop sign and pedestrian crossing. Yield to oncoming traffic and turn left. Enter the drop off zone and stop near the enterence. Leave the drop off zone. Look for oncoming traffic before turning right. Slow down and merge behind the black vehicle and stop at the red traffic light.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,146.0
2021.07.09.16.12.19_veh-26_06964_07035,53,270,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,21.7
2021.08.17.15.02.08_veh-45_01756_01966,343,940,Turn right at the green intersection. Merge into the left turning lane and stop for the red traffic light. Turn left. Make a stop at the upcoming stop sign.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,59.7
2021.08.17.16.48.45_veh-43_01676_01764,47,292,"Stop for the red traffic light, ",Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,24.5
2021.06.09.11.54.15_veh-12_03917_04069,295,569,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,27.4
2021.06.09.17.37.09_veh-12_03132_03193,4,192,Merge one lane to the right side. ,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,18.8
2021.06.14.18.33.41_veh-35_00355_00477,125,295,Stop for the pedestrians and red light at the intersection. ,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,17.0
2021.10.01.19.16.42_veh-28_03307_03808,1978,2406,Make a stop at the upcoming red traffic light. Look for oncoming traffic and merge into the left lane to causing traffic.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,42.8
2021.05.12.19.36.12_veh-35_00215_00405,284,805,Stop behind the black vehicle in front and procced once green. Stop at the upcoming intersection. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,52.1
2021.06.23.14.58.13_veh-35_01831_02026,238,781,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,54.3
2021.06.14.16.48.02_veh-12_00721_00828,284,442,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.8
2021.10.01.17.52.06_veh-28_01141_01264,347,537,Turn right at the intersection. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.0
2021.06.09.14.03.17_veh-12_02112_02202,78,410,Turn right at the intersection. Merge one lane to the right side. Stop at the upcoming red traffic light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,33.2
2021.06.14.13.27.42_veh-35_04001_04236,136,289,Make a stop at the stop sign. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.3
2021.10.06.17.43.07_veh-28_01354_01536,169,736,Merge into the left lane to pass the truck on blocking the right lane. At the upcoming intersection make a stop and turn right.  Look for oncoming traffic and turn left. Slightly shift to the left to avoid hitting any of the stationary vehicles. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,56.7
2021.06.09.17.23.18_veh-38_05239_05412,144,724,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,58.0
2021.06.09.17.23.18_veh-38_03095_03280,574,816,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,24.2
2021.06.14.18.13.35_veh-26_03030_03119,206,397,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.1
2021.09.15.14.27.22_veh-39_00038_00414,19,947,Yield for oncoming traffic to make a lef turn at the intersection. At the next intersection take a right turn. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,92.8
2021.10.01.17.52.06_veh-28_00327_00427,141,470,Yield for the oncoming traffic before turning left. Stop for the pedestrians crossing the street. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,32.9
2021.10.06.17.43.07_veh-28_01587_01694,285,437,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.2
2021.06.14.18.33.41_veh-35_00488_00562,5,317,Wait for the people crossing at the crosswalk before turning left. Stop at the next traffic light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,31.2
2021.06.09.14.50.36_veh-26_01698_01771,122,335,Merge into the left lane. Stop at the intersection during a red light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,21.3
2021.07.09.16.12.19_veh-26_02509_02592,46,287,Merge into the riight turning lane and turn right. Stop for the pedestrians at the crosswalk. Merge into the left lane and stop at the stop sign.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,24.1
2021.07.16.16.01.30_veh-38_00016_00333,62,1124,Make a stop at the stop sign and look for oncoming traffic before making a right turn. Merge into the left lane and wait for the ceniment roller to move. Stop athe the upcoming intersection. Turn left.  ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,106.2
2021.06.14.14.25.15_veh-26_03964_04278,660,1329,Merge into the right turning lane and turn right at the intersection. Merge into the left lane. Merge further into the left lane and make a stop at the stop sign. Turn left at the yield sign. Enter the drop off zone and stop behind a van.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,66.9
2021.08.17.13.15.12_veh-45_00565_00643,207,362,Turn right at the intersection. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.5
2021.06.23.14.58.13_veh-35_01831_02026,593,916,Merge into the right lane. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,32.3
2021.08.17.14.45.12_veh-42_00092_00301,625,969,Turn left. At the upcoming intersection make a right turn.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,34.4
2021.06.14.17.26.26_veh-38_02740_03036,212,372,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.0
2021.06.09.14.50.36_veh-26_03403_03496,163,337,Make a stop at the intersection during a red light. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,17.4
2021.10.01.19.16.42_veh-28_01731_01935,299,992,Look for oncoming vehicles before making a right turn. Merge to the right lane to avoid causing traffic and procced. Merge into the left lane. Stop for the upcoming intersection during the red light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,69.3
2021.06.09.11.54.15_veh-12_05414_05511,24,425,Stop at the intersection and procced once green. Merge into the right lane. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,40.1
2021.06.09.14.58.55_veh-35_02861_03037,231,701,Yield for the oncoming vehicles and turn left. Enter the drop off zone and stop. Stop at the upcoming stop sign and look for incoming traffic. Turn right. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,47.0
2021.06.14.13.27.42_veh-35_02028_02106,28,254,Merge to the left lane. Stop for the upcoming intersection.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,22.6
2021.06.14.14.03.45_veh-38_01547_01613,135,296,Enter the diamond service seven and taxi building.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.1
2021.07.16.16.01.30_veh-38_00016_00333,658,1164,Turn left at the intersection. Stop at the next intersection. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,50.6
2021.06.14.18.33.41_veh-35_00488_00562,90,356,Stop at the intersection with a red light. Make another stop at the at the upcoming red light.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.6
2021.06.14.18.13.35_veh-26_05600_05660,141,294,Merge into the right lane. Turn right at the intersection and merge into the left lane.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.3
2021.06.14.11.44.56_veh-35_03389_04017,907,1310,Merge one lane to the right and stop for the upcoming red traffic light. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,40.3
2021.09.15.14.27.22_veh-39_01281_01346,112,270,Stop at the stop sign and turn left. At the next stop sign make another stop.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.8
2021.09.15.11.49.23_veh-28_02192_02253,24,192,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.8
2021.05.12.19.36.12_veh-35_00416_00557,391,610,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,21.9
2021.07.09.20.26.06_veh-35_03898_05974,306,2242,Stop behind the white vehicle. Merge one lane to the right. Stop for the upcoming intersection with a red traffic light. Follow the black vehicle.  Turn right at the crosswalk after the peoople finishded crossing. Enter the diamond seven and stop at a drop off zone.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,193.6
2021.10.01.14.20.36_veh-28_01491_01630,279,585,Wait for the pedestrian to cross and make a left turn after. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,30.6
2021.06.14.11.44.56_veh-35_00938_01134,205,937,Merge one lane into the right. Merge one more lane to the right turning lane and stop at the red light. Turn right. Slow down and let the pedestrians cross at the crosswalk. Procced after. Merge one lane to the left and make a stop at the stop sign. Yield to the oncoming car and turn left.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,73.2
2021.06.09.14.50.36_veh-26_01124_01198,210,361,Enter the diamond seven services and enter the drop off zone.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,15.1
2021.06.09.18.23.43_veh-35_02945_03099,577,749,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,17.2
2021.06.09.17.37.09_veh-12_01465_01790,796,1313,Merge one lane to the right. Merge into the right turning lane and turn right at the upcoming intersection.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,51.7
2021.10.06.13.21.47_veh-28_01002_01116,11,561,Merge into the right lane to avoid the deliverly truck. Slow down and merge back into the left lane behind the deliverly truck. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,55.0
2021.08.17.13.15.12_veh-45_00565_00643,222,382,Turn right at the upcoming intersection. Merge into the left turning lane.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.0
2021.06.23.20.00.35_veh-35_00130_00949,1056,1625,Look for oncoming vehicles before merging back into the lane. Turn left at the upcoming intersection. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,56.9
2021.10.01.18.26.05_veh-28_01689_01890,181,750,Merge into the left lane to avoid a stationary vehicle. Merge back into the right lane and come to a stop at the stop sing. Make another stop and turn right. At the upcoming stop sign make another stop. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,56.9
2021.06.09.14.03.17_veh-12_03584_03667,137,302,Merge into the right lane behind the red vehicle. ,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.5
2021.07.09.20.59.12_veh-38_00773_01187,1006,1871,Turn left at the intersection. Make a stop at the next upcoming red traffic light. Make another stop at the next red traffic light. Merge one lane to the right. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,86.5
2021.06.23.17.31.36_veh-16_01812_01883,30,291,Make a stop at the intersection.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,26.1
2021.06.14.14.25.15_veh-26_04936_05073,485,649,Make a stop at the intersection. At the next intersection make  a another stop.,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.4
2021.05.12.23.36.44_veh-35_01133_01535,1492,1965,Turn left at the intersection. Merge one lane over to the right. At the upcoming stop sign make another stop. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,47.3
2021.07.16.00.24.14_veh-38_00367_01154,1239,1918,Turn left at the intersection. At the next intersection make another stop. Merge one lane over to the right and make a stop for the red light. Merge one lane to the right.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,67.9
2021.07.16.01.22.41_veh-14_02626_04289,474,1364,Turn left at the intersection. Make a stop behind a bus during the red light. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,89.0
2021.06.23.20.43.31_veh-16_00016_00216,129,793,Enter the diamond seven services and spot at the drop off zone. Wait and look for oncoming vehicles to pass before procceding. Make a stop at the next intersection. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,66.4
2021.07.16.00.51.05_veh-17_00023_01331,711,1321,Turn left at the intersection. Merge one lane to the right side.,Dynamic Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,61.0
2021.06.14.17.26.26_veh-38_01499_01849,1023,1216,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.3
2021.08.17.13.10.50_veh-08_00313_00564,1044,1211,Look for oncoming vehicles before leaving the curb. Make a stop at the stop sign. ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,16.7
2021.06.09.14.50.36_veh-26_01124_01198,40,343,Wait for pedestrians to finishing crossing the crosswalk and turn right. Enter the diamond seven services. Go into the drop off zone and make a stop.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,30.3
2021.09.15.14.50.05_veh-28_01740_01833,90,415,Make a stop at the upcoming intersection. ,Static Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,32.5
2021.10.01.13.28.54_veh-28_01421_01615,194,561,Turn left at theintersection. Make a stop at the upcoming red traffic lights. At the next apporaching intersection make a stop at the red light.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,36.7
2021.06.09.14.50.36_veh-26_01124_01198,143,342,Enter the diamond seven star building and stop behind the black vehicle in the drop off zone.  ,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,19.9
2021.06.14.14.25.15_veh-26_01236_01585,55,515,,Non-Referential,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,46.0
2021.06.14.16.32.09_veh-35_03231_03426,118,629,Turn right. Wait for pedestrians to finish crossing before procceding. Make a stop at the intersection during the red light. Turn left at the intersection. Merge one lane to the right side.,Both,giovanni,./staging/labels - Jose Tapia__19LjSaE0ONWFR8CY4YFkL35Nb6AApWJUG.csv,51.1
